V,f,ap,D,work_material,Ra,timp
322.5659,0.1846,1.8137,12,2,29.4486,3.7966
213.9142,0.1213,1.5002,10,0,14.5239,7.2629
255.0331,0.162,1.2113,10,2,28.7921,4.5607
169.3453,0.1182,3.1663,12,1,7.7432,11.2964
147.0303,0.072,1.8529,12,0,4.2234,21.3684
215.9246,0.231,2.2895,16,1,21.3254,6.0426
188.3381,0.2505,2.2231,10,1,41.3132,3.9939
245.914,0.2358,2.5205,12,0,43.8851,3.8981
119.4337,0.189,3.5295,10,2,43.2136,8.3441
343.5987,0.1639,3.9326,12,0,19.7097,4.0136
346.5527,0.309,1.9265,10,1,56.2243,1.7594
274.5404,0.2057,3.3963,20,1,13.0385,6.6714
234.0241,0.1938,3.1758,16,2,26.4111,6.648
177.3819,0.0577,2.5074,10,0,3.5609,18.4099
303.4488,0.1524,3.8462,20,1,7.1371,8.1492
271.1828,0.1641,1.2017,10,1,16.6553,4.2347
140.6542,0.1696,0.8824,10,1,19.3958,7.8955
327.7318,0.2241,3.4889,20,2,26.1506,5.1315
305.6343,0.2101,2.037,10,1,26.8114,2.9342
337.45,0.2324,3.4644,10,1,32.0764,2.4026
281.4299,0.2795,3.6258,16,0,44.9118,3.8327
253.3538,0.2939,0.7186,20,0,40.6741,5.0605
204.5608,0.2654,3.5921,20,1,22.7993,6.9395
333.1821,0.3367,2.0691,12,1,55.7411,2.0155
316.516,0.0555,2.2865,10,0,2.8641,10.7307
111.3047,0.1087,2.6931,16,2,8.8818,24.9072
106.5917,0.0523,3.7423,10,2,3.2084,33.8154
194.1158,0.2442,0.5669,10,2,68.611,3.9737
302.6383,0.3194,2.169,12,2,90.1457,2.3388
346.819,0.123,2.907,10,2,15.5472,4.4148
137.6042,0.3281,3.0295,16,2,80.2602,6.6765
248.5327,0.0681,2.9239,16,2,3.3912,17.8154
195.2227,0.3303,0.9705,12,2,104.3226,3.5058
342.4786,0.1555,1.5479,10,0,21.6384,3.538
310.5297,0.0804,1.7555,16,2,4.2815,12.0698
309.5822,0.1958,3.3155,10,2,40.0359,3.1087
217.1733,0.127,1.4757,10,2,17.8674,6.829
203.7049,0.1355,1.2375,10,1,12.0505,6.8275
168.3518,0.1422,3.8511,12,0,17.079,9.4446
114.0939,0.2909,0.531,10,0,87.9062,5.6763
316.1806,0.2117,3.9924,16,0,25.499,4.5024
303.2253,0.1434,2.8689,10,2,22.0246,4.333
349.9294,0.2331,3.3996,16,2,34.7008,3.6955
349.1592,0.2648,1.5312,10,1,41.0252,2.0373
238.8579,0.1318,0.5501,16,0,10.4767,9.5761
292.2469,0.1741,3.0825,16,2,20.5077,5.9257
336.1914,0.0866,3.4195,10,0,6.7317,6.4736
312.4118,0.1043,3.0917,10,1,6.5704,5.7794
161.837,0.2543,1.0,16,1,27.2345,7.3235
212.636,0.1044,3.137,20,1,3.6111,16.9685
132.2899,0.2075,3.1912,12,0,37.0193,8.2341
338.5128,0.2627,2.8049,20,2,35.3165,4.2369
251.5437,0.0821,3.1814,20,2,3.7554,18.2537
157.1607,0.2202,3.4607,10,1,32.7154,5.4442
267.9252,0.127,2.6476,12,2,14.6037,6.6459
254.5321,0.3389,0.8101,20,1,36.1703,4.3684
189.5407,0.1951,2.2067,10,0,37.8556,5.0957
128.3894,0.2918,0.7718,20,1,29.2578,10.0577
267.8933,0.2151,1.9264,20,0,21.6692,6.5399
230.0769,0.063,1.9249,10,1,2.7802,12.9928
293.0796,0.2399,0.731,10,2,61.4738,2.6791
230.0409,0.3354,1.7209,10,2,125.7398,2.4417
313.0454,0.2305,0.8885,12,1,26.6793,3.1334
237.9767,0.2958,3.3288,20,2,48.3181,5.3536
240.2345,0.3153,3.8169,10,2,110.0255,2.4876
319.1634,0.1184,0.7531,16,2,9.2184,7.9753
200.8707,0.1136,3.8429,20,0,5.9692,16.5107
133.5038,0.2333,2.329,16,2,40.5421,9.6784
107.1957,0.1733,1.5485,12,0,26.0983,12.1693
288.7843,0.302,0.769,10,1,55.6842,2.1605
255.0774,0.32,2.2522,16,2,70.2755,3.6929
276.0199,0.156,3.2808,12,2,22.1021,5.2496
153.241,0.1211,2.9748,10,2,17.3519,10.1555
134.0929,0.2842,0.6758,16,1,34.3974,7.9111
103.6362,0.1324,0.7552,16,0,11.6864,21.9616
187.6469,0.2968,1.9101,12,0,72.3531,4.0596
247.4794,0.1771,1.5335,10,2,34.6855,4.298
198.061,0.2503,1.3133,10,1,40.7456,3.8009
209.3687,0.0787,1.4835,16,1,2.5475,18.3034
326.0397,0.2372,3.3122,16,1,20.8508,3.8985
187.0639,0.1855,3.7523,16,1,14.3477,8.6855
228.4974,0.226,1.9179,10,1,32.7935,3.6486
295.9133,0.1004,3.6714,12,0,7.5807,7.6093
199.1357,0.2711,1.6252,12,0,59.9245,4.1884
255.5217,0.3088,2.1675,10,0,89.7197,2.3874
315.5909,0.115,1.2911,20,2,7.2201,10.3802
337.3802,0.0787,2.7417,12,1,3.2852,8.5131
136.7684,0.0571,3.9264,16,2,2.2891,38.605
331.6469,0.2426,2.6122,20,1,17.5368,4.6834
223.0291,0.2321,1.7523,20,0,25.7089,7.2782
164.5611,0.214,2.7674,12,2,44.6747,6.4195
214.7839,0.1196,0.9302,20,0,6.794,14.6702
345.0081,0.1673,3.6103,20,1,8.3538,6.5292
223.1545,0.2283,2.2608,12,1,27.7245,4.4368
182.1879,0.199,2.0727,12,1,21.9059,6.2348
258.3502,0.3463,2.5505,20,0,56.3252,4.2112
160.0364,0.0909,2.6867,16,1,3.4464,20.7141
118.9658,0.2585,0.7512,10,0,69.5502,6.1253
132.2199,0.1713,2.8892,20,2,17.85,16.6367
132.0115,0.1785,1.3468,20,1,10.8872,15.9941
137.9757,0.2653,2.9988,16,1,29.9569,8.2356
134.7068,0.2577,3.3789,20,1,22.4849,10.8531
260.2187,0.3474,3.3139,20,2,66.0155,4.1684
145.47,0.0885,2.4338,10,1,5.6116,14.631
186.4168,0.0812,2.3206,10,0,6.5102,12.4412
324.1971,0.2673,1.0001,10,0,63.9187,2.1741
218.4904,0.2235,3.2137,12,1,26.6313,4.6294
266.8894,0.1322,1.4499,12,1,9.0019,6.4053
143.08,0.0738,2.2384,10,2,6.5542,17.8359
148.0723,0.0757,1.495,10,2,6.8103,16.8084
110.2172,0.3183,0.9684,12,2,102.8173,6.4452
142.2338,0.1076,2.7035,16,1,4.8286,19.7036
169.6476,0.147,0.6902,20,2,12.3604,15.1082
144.2526,0.118,3.1203,20,2,8.4447,22.1369
122.1756,0.1565,1.6116,10,0,25.1959,9.8534
130.159,0.0708,0.5005,16,2,3.8395,32.6984
215.1947,0.2057,2.289,12,0,34.2538,5.1069
151.5834,0.0703,0.664,10,0,4.7589,17.6837
191.0675,0.2901,1.4666,16,2,60.6819,5.4382
225.8543,0.1201,2.9744,16,0,8.5885,11.1117
272.5987,0.212,0.7194,16,1,17.4093,5.216
109.828,0.314,3.4377,12,1,57.0924,6.5552
299.8526,0.2453,0.5134,12,2,53.469,3.0741
256.9751,0.2099,1.3639,20,1,14.0064,6.9861
120.4398,0.1473,3.0932,20,0,10.964,21.2392
318.3947,0.1499,1.6069,16,1,8.7382,6.3159
330.2181,0.2508,0.8566,16,2,40.6803,3.6391
115.2695,0.3482,1.7608,12,2,122.854,5.6321
169.2194,0.2486,1.4464,20,0,30.8983,8.9587
301.5503,0.2173,3.4495,16,2,31.2536,4.5995
287.0649,0.2692,1.5967,20,1,22.163,4.876
146.1303,0.1896,3.2613,20,2,21.2724,13.6025
152.3373,0.068,3.6216,16,0,3.311,29.0812
192.618,0.2187,2.0184,12,2,45.7953,5.3671
221.1307,0.3373,3.6848,16,1,45.7067,4.0416
254.5637,0.1026,1.8206,16,0,6.2068,11.5424
192.2284,0.257,3.8743,20,1,21.5509,7.6271
215.6337,0.1103,0.8125,16,0,7.6054,12.6761
286.8677,0.2107,2.9046,12,2,39.4711,3.7395
109.1708,0.079,2.2283,16,0,3.9788,34.9503
163.1092,0.1851,1.8568,12,0,28.8619,7.4877
278.3374,0.2768,2.7145,12,2,68.9462,2.9339
323.8017,0.1543,2.9635,20,1,7.1694,7.543
227.9194,0.2495,0.5153,10,2,69.9686,3.3134
233.0284,0.2886,1.0843,10,0,79.8684,2.8011
126.793,0.3282,2.9957,20,2,64.7993,9.056
211.8531,0.1204,2.8323,16,0,9.116,11.8186
233.1543,0.1698,3.8812,20,2,15.9967,9.5179
160.6176,0.0957,3.1636,12,2,8.9611,14.7043
167.3108,0.3477,3.8277,10,1,80.8456,3.2381
194.321,0.3281,2.9589,20,0,52.947,5.91
105.0178,0.212,1.5432,16,1,19.4345,13.5403
180.5198,0.3026,0.8688,20,0,45.2575,6.8977
152.862,0.2063,3.2364,10,2,50.3547,5.9746
181.8743,0.2371,2.7545,20,0,27.8019,8.7388
129.9405,0.0767,0.6687,20,1,2.306,37.7885
322.6318,0.2766,1.7602,10,1,45.5894,2.1113
248.3981,0.0883,3.8488,12,1,4.0618,10.3059
269.7756,0.2978,2.2514,12,0,68.9898,2.8139
297.2928,0.2846,2.0146,10,1,49.3038,2.2266
224.6105,0.2626,2.1019,20,1,22.1082,6.3877
121.7301,0.0608,1.2311,10,1,2.4581,25.4352
234.2766,0.1409,1.7905,12,2,19.0109,6.8471
246.7103,0.1289,1.7943,16,2,11.5371,9.4765
286.3599,0.158,0.6832,20,0,11.6464,8.3259
207.9149,0.0763,3.1865,12,0,4.5732,14.2526
131.8951,0.3311,1.9578,20,1,37.4641,8.6286
170.944,0.2161,3.3776,10,2,54.8383,5.0991
190.7706,0.1417,3.4762,16,1,8.4575,11.1545
261.4793,0.1691,1.242,10,1,17.929,4.261
242.6946,0.1842,2.8007,16,2,23.4389,6.7444
189.0242,0.2302,2.153,20,2,30.4904,8.6602
346.6288,0.2047,3.5805,20,2,21.3446,5.3103
251.4437,0.3258,1.2551,10,0,100.0377,2.2997
159.3067,0.1991,2.8723,16,0,25.1216,9.5043
125.4456,0.3476,2.6271,16,1,52.0595,6.912
138.2148,0.3054,1.5336,20,0,47.8378,8.9258
161.4894,0.1126,0.9781,10,2,14.8319,10.3652
140.1703,0.3292,2.7807,16,2,80.7786,6.533
146.6418,0.0849,3.0851,20,0,3.6026,30.2618
171.2738,0.2952,1.6047,12,1,48.3204,4.471
143.3434,0.1642,2.7569,10,1,18.575,8.0051
324.1914,0.3134,1.883,12,0,73.1118,2.2252
120.0584,0.3104,2.9962,10,1,66.6252,5.0553
231.1278,0.2918,1.1973,20,1,27.3175,5.5874
202.5992,0.287,3.6158,16,1,33.5938,5.184
345.5947,0.1414,1.5059,16,2,12.8383,6.1684
128.0097,0.0743,1.7873,16,2,3.982,31.7038
199.4639,0.1709,0.7033,10,0,28.4972,5.527
342.3676,0.1021,0.8903,20,2,5.2066,10.7839
316.3768,0.2585,2.3055,12,1,33.4438,2.7645
304.268,0.1538,1.4366,20,2,12.5308,8.0503
164.4757,0.3427,3.4242,12,0,98.2016,4.0111
142.7219,0.2423,0.5514,10,2,69.9527,5.4482
267.1608,0.2967,1.8268,10,1,54.8523,2.3764
332.344,0.0898,1.6807,12,1,3.8674,7.5789
239.1907,0.3086,0.5676,12,0,75.5952,3.0628
242.9032,0.3268,0.9353,12,2,98.7352,2.8478
169.9948,0.1961,1.9477,20,2,22.3302,11.302
292.3732,0.2319,2.225,12,2,47.9324,3.3348
146.7609,0.2794,1.915,10,1,53.003,4.5939
180.9198,0.1025,2.3583,10,0,10.2767,10.1643
206.3591,0.2008,2.583,16,2,28.7059,7.2758
226.9026,0.1696,0.5347,12,1,15.4142,5.8749
160.6024,0.0939,2.1243,20,1,2.8682,24.9826
128.7092,0.1603,3.8722,20,1,8.735,18.2673
252.655,0.0705,2.3166,20,2,2.5795,21.1686
172.1576,0.0577,2.8714,16,2,2.3627,30.3229
245.3096,0.0905,1.5915,10,2,9.0693,8.4816
138.5907,0.3389,3.209,20,2,68.47,8.0216
220.285,0.2149,3.2052,10,2,51.7937,3.9805
233.1474,0.3397,2.3245,16,2,80.4266,3.8055
112.9559,0.1797,3.916,12,2,32.6355,11.1349
184.1511,0.1435,0.9394,12,2,19.9769,8.5526
133.6037,0.2018,0.5593,12,2,40.7467,8.3836
115.8437,0.1819,3.1956,20,1,11.5779,17.8861
347.4901,0.0817,3.325,12,2,5.5788,7.9634
180.5885,0.2422,0.9207,20,0,29.1751,8.6131
302.4686,0.1148,1.4295,16,1,4.6251,8.6803
163.6602,0.2359,0.5614,16,2,40.8541,7.8086
270.3757,0.2451,1.5266,20,0,28.0391,5.6868
290.057,0.0956,3.206,10,2,9.7259,6.7937
248.9097,0.0684,2.3129,12,0,3.7322,13.278
217.894,0.2842,1.7183,12,0,64.9046,3.6505
202.9602,0.1879,1.8011,12,0,28.6647,5.927
187.2171,0.0674,0.5047,20,0,2.3644,29.8393
332.3823,0.3485,1.5493,16,1,44.9699,2.6026
307.6549,0.0673,2.7626,12,1,2.2169,10.9135
341.2567,0.2585,3.9097,16,0,36.9237,3.417
131.0743,0.3451,3.4647,12,2,119.0798,4.998
282.7169,0.1218,0.5826,12,0,11.3154,6.5679
334.5851,0.0927,3.645,20,1,2.5085,12.1519
145.3083,0.0864,3.2412,10,2,8.8032,15.0037
116.6241,0.141,3.2313,20,1,6.702,22.917
285.2802,0.0803,2.103,12,1,3.4864,9.8674
243.6183,0.2576,1.893,12,2,61.1922,3.6018
310.4572,0.0687,1.5602,10,0,4.134,8.8349
134.9431,0.2028,0.7299,16,0,26.1389,11.0135
298.8168,0.349,1.2988,16,0,68.9456,2.8904
150.4068,0.2942,1.3631,12,0,73.2902,5.1093
140.914,0.2346,2.1943,16,2,41.0956,9.1197
141.0664,0.1419,3.1161,12,2,20.1646,11.2961
303.6437,0.2372,2.1583,10,2,59.528,2.6161
266.2993,0.2081,0.7025,10,1,26.9081,3.3995
230.7664,0.1778,3.8523,12,2,29.3902,5.5093
189.7076,0.0892,3.7995,10,0,7.7947,11.1319
319.3001,0.316,3.2482,20,1,30.0044,3.7347
198.1113,0.1849,3.9696,20,0,16.7772,10.2845
304.1499,0.1084,2.4057,10,0,10.713,5.715
209.7837,0.1603,3.8697,12,2,24.2537,6.7217
194.2361,0.1742,0.7646,12,2,29.2428,6.6802
215.6699,0.2983,1.7799,10,0,85.9191,2.9288
175.3445,0.2701,1.2888,16,0,45.2829,6.3652
286.9023,0.2808,1.1854,20,1,24.2139,4.6773
225.6801,0.0533,0.9928,16,2,2.2561,25.0556
158.0532,0.1748,2.6784,12,1,17.1092,8.1809
324.8936,0.1944,3.2346,12,1,18.614,3.5795
195.9728,0.0558,2.524,16,1,1.4232,27.5867
235.8882,0.1279,1.0144,10,0,15.6796,6.2424
326.618,0.2781,3.3389,16,1,28.915,3.3188
256.0595,0.0911,2.7258,16,1,3.0619,12.9177
129.2245,0.2106,1.8586,20,0,23.0116,13.8459
334.958,0.1146,2.8595,20,2,6.5471,9.8194
256.927,0.0536,1.4097,16,2,1.9289,21.8742
183.7264,0.1224,1.7082,16,1,6.2466,13.4087
134.818,0.3428,3.7112,12,0,100.4418,4.8924
298.5063,0.2905,1.5168,20,2,44.9957,4.3458
255.0182,0.3379,2.145,20,1,35.5522,4.3731
233.3653,0.1964,3.6155,12,1,20.5123,4.9338
323.4731,0.0829,2.977,10,0,6.324,7.0239
297.1493,0.2144,0.7177,20,1,13.9813,5.9147
137.9187,0.1863,1.0156,20,2,20.5526,14.6637
177.9305,0.3033,0.5274,10,0,91.7276,3.491
162.1223,0.0794,2.7082,20,2,3.6066,29.2626
285.9866,0.1965,2.0669,20,2,20.5881,6.706
108.3831,0.095,0.97,10,2,10.8547,18.2949
242.4724,0.1474,3.8528,10,1,13.7349,5.2712
290.6147,0.2712,2.3538,16,1,28.1178,3.8246
319.1914,0.1928,1.3466,12,2,32.2127,3.6736
185.5204,0.1628,2.2521,12,2,25.3434,7.487
305.3143,0.1683,2.8787,10,0,25.5792,3.6655
127.6579,0.1878,0.7668,10,0,36.2194,7.857
311.6131,0.2855,1.4615,20,1,24.5103,4.2353
131.8722,0.3176,3.3244,16,1,43.2539,7.1967
199.3218,0.3366,2.1088,16,0,69.4633,4.4929
299.3238,0.2861,2.413,10,2,86.9622,2.2002
137.4794,0.1446,2.0149,20,1,7.3882,18.9513
157.3128,0.2564,0.6536,20,2,38.8036,9.3403
280.5631,0.1813,1.0801,12,0,25.4111,4.4451
280.0091,0.1264,2.0594,12,1,8.1394,6.3876
260.2869,0.3023,1.2321,20,1,28.7013,4.7893
273.4871,0.0615,0.6749,12,0,2.86,13.4355
235.6811,0.3205,3.4528,10,1,65.4735,2.494
162.9498,0.1884,3.9342,20,0,17.6551,12.2709
186.424,0.2412,3.276,12,1,31.996,5.0287
145.3994,0.2478,3.4882,16,0,38.9329,8.3662
327.1126,0.3185,1.3469,20,1,30.2762,3.6162
245.8479,0.241,3.8622,20,2,32.2472,6.3595
200.2129,0.2342,1.1892,16,2,39.112,6.4292
215.5015,0.07,3.83,10,2,5.847,12.4899
336.8208,0.2055,3.9819,16,1,15.5193,4.3545
138.3379,0.0951,2.991,20,1,2.8395,28.6559
246.5575,0.2712,3.934,10,2,81.1962,2.8172
226.4722,0.2037,2.4934,12,2,38.6174,4.9015
252.8636,0.2541,1.4084,12,0,50.7828,3.519
104.5275,0.0625,2.0295,12,0,3.2226,34.605
318.031,0.0754,2.5775,20,0,2.4725,15.7056
333.0296,0.2649,0.7558,16,2,45.4252,3.417
241.2833,0.0716,2.6782,10,2,5.7133,10.9015
274.1627,0.0714,3.9341,12,2,4.5951,11.553
330.6248,0.0536,1.1654,10,0,2.5748,10.6247
276.8097,0.337,3.2741,20,1,34.9979,4.0398
138.1348,0.2713,3.6776,12,2,72.9607,6.0337
244.0721,0.156,3.803,20,1,7.6375,9.8978
251.6788,0.139,3.8605,16,1,7.6642,8.6191
206.0327,0.1549,2.3251,20,1,7.7848,11.8057
284.1111,0.2824,3.9206,20,0,36.7873,4.6964
333.5918,0.2484,3.1506,16,1,22.7051,3.6376
331.3921,0.1056,1.0659,10,2,11.6932,5.3857
212.7098,0.1022,2.1692,16,0,5.96,13.8619
128.3095,0.0795,3.0142,16,2,4.7711,29.5442
346.2103,0.2481,1.3657,20,2,31.7132,4.3869
309.7245,0.2793,2.7422,10,0,70.6873,2.1778
131.1657,0.1295,2.8331,12,2,16.7328,13.3084
330.2105,0.0563,1.0694,16,2,1.8542,16.2192
317.4741,0.0747,2.4778,10,0,5.2081,7.9494
229.7095,0.3404,3.2007,16,2,81.0154,3.8555
247.8189,0.1386,2.2461,16,1,7.556,8.774
199.7507,0.2808,0.5424,16,2,56.2068,5.3749
113.6904,0.2374,0.5316,16,1,24.2442,11.1686
183.7993,0.1646,1.7496,20,2,15.7486,12.4562
300.7134,0.1117,3.7417,10,0,11.4495,5.6086
101.158,0.0864,1.3004,10,0,7.8653,21.552
183.3748,0.2345,2.7203,10,2,63.5063,4.3812
199.5422,0.2824,1.2773,16,0,48.6995,5.3495
234.3489,0.2432,1.6258,20,2,32.7597,6.612
329.9639,0.2091,3.4681,16,0,24.2079,4.3692
186.5865,0.0626,3.051,16,1,1.4639,25.8136
186.7383,0.3405,0.8339,10,2,133.5943,2.9626
284.3753,0.2896,2.0005,16,1,32.2831,3.6601
213.0545,0.1378,0.6021,12,1,10.051,7.698
156.1512,0.344,2.1831,16,2,87.3525,5.6119
213.1099,0.2306,2.8185,12,1,28.7307,4.6011
135.2143,0.2247,0.9148,16,2,37.8021,9.9203
144.0967,0.2744,1.5111,20,1,25.8325,9.5288
224.5919,0.2935,1.8924,20,2,48.197,5.7156
204.7314,0.2469,3.7184,10,2,69.6172,3.7265
328.7115,0.0884,3.9764,16,0,4.3045,10.3703
190.5985,0.1515,0.6572,12,2,22.3952,7.8304
245.1471,0.3284,3.1635,12,2,99.3983,2.808
258.0661,0.1174,1.801,16,1,5.3118,9.9508
103.2736,0.1617,1.8736,12,2,26.6808,13.5424
265.8843,0.1796,3.1399,20,0,15.0342,7.8896
144.509,0.1818,3.7145,12,1,18.5985,8.6044
340.2676,0.2339,3.8283,10,1,32.0117,2.3674
137.1657,0.3329,2.5199,20,0,56.9667,8.2513
203.656,0.1222,1.7499,20,1,4.6914,15.1396
121.3374,0.0865,3.2564,20,1,2.612,35.9211
349.2186,0.1092,1.3785,16,1,4.5119,7.9016
225.5488,0.3161,2.4743,16,1,40.2157,4.2283
248.8463,0.2437,1.755,20,0,28.0053,6.2122
116.7691,0.1358,2.7982,16,0,11.9312,19.0135
287.4901,0.2948,1.3414,12,1,44.2943,2.6677
152.4764,0.3084,1.1706,16,1,39.9278,6.4102
324.5136,0.304,3.7138,16,0,51.6356,3.056
151.2849,0.3257,0.8563,20,0,53.7866,7.6476
147.6719,0.1257,2.2709,10,0,16.2723,10.1518
109.1374,0.2765,1.273,10,1,53.0719,6.243
218.0167,0.1882,0.6363,10,1,22.9968,4.5926
241.2103,0.3026,0.6261,12,2,84.8483,3.0974
116.4272,0.2685,1.1133,16,0,46.8159,9.6411
293.8819,0.2829,3.5337,10,1,48.4677,2.2658
213.3222,0.2468,1.4887,20,0,29.4968,7.1556
231.0976,0.1032,3.8266,10,1,7.0753,7.8974
210.1907,0.2135,2.5357,10,0,44.3934,4.1981
200.1908,0.3454,2.0281,16,1,48.8123,4.3595
239.9101,0.3312,2.5303,16,2,76.1447,3.7935
138.8101,0.063,2.3084,16,2,2.9221,34.4961
145.482,0.0994,3.1557,12,0,8.1106,15.6269
315.4464,0.0895,1.4887,12,1,4.1224,8.0061
336.5289,0.2678,1.7357,10,1,42.4457,2.0905
193.3273,0.2953,3.6293,16,0,53.5362,5.2795
167.6862,0.1141,3.8126,10,1,8.668,9.8509
260.9999,0.2018,3.624,20,0,19.0295,7.1556
202.1835,0.3022,1.9681,20,1,29.8514,6.1667
106.3466,0.2698,3.2313,16,0,47.5003,10.5044
139.0381,0.2127,2.1672,16,1,19.4124,10.1943
278.9931,0.2271,2.2414,20,0,23.8572,5.9469
264.731,0.2025,1.2164,16,1,15.5889,5.6228
106.774,0.1393,2.569,12,2,19.7757,15.2039
155.493,0.2195,1.1515,12,1,27.2165,6.6237
157.7687,0.2567,1.6605,16,0,41.3942,7.4441
267.9732,0.312,3.4926,20,2,53.0067,4.5068
104.9276,0.2409,1.2248,10,1,40.7598,7.4538
126.0271,0.2783,0.7491,16,2,58.3015,8.5934
299.979,0.098,0.7415,16,1,3.8144,10.2515
144.6362,0.1885,3.7927,10,2,42.1508,6.9114
263.1865,0.0528,2.2742,16,0,1.6278,21.6924
159.5457,0.124,1.9329,10,1,10.3058,9.5227
124.8603,0.2679,3.3381,20,1,24.6524,11.2629
160.793,0.3475,3.4254,12,0,101.3823,4.0456
280.5667,0.0798,1.6627,20,2,3.1823,16.8394
313.9241,0.1704,2.9277,12,0,21.746,4.2252
307.555,0.29,3.1989,10,0,76.2981,2.1122
199.2959,0.1112,2.7913,12,2,11.6452,10.2004
267.0213,0.2165,1.0306,20,0,21.7131,6.5171
151.2461,0.2699,3.5656,12,1,41.0574,5.5378
173.2869,0.2348,2.3868,10,1,36.7215,4.6305
324.084,0.1064,1.4887,12,1,5.6747,6.5559
103.2505,0.1566,1.9883,16,0,16.0448,18.6412
121.3771,0.2851,0.6315,20,1,28.0614,10.8873
151.9716,0.2163,0.9475,16,1,19.7011,9.1716
106.6331,0.0516,3.1794,10,1,1.6619,34.2611
145.3589,0.2783,0.5,12,1,43.8019,5.5887
245.7604,0.0606,1.958,16,1,1.5589,20.2425
205.3561,0.2737,2.3288,16,1,30.5537,5.3627
323.1679,0.1107,0.6912,12,0,8.873,6.317
304.3609,0.3374,3.9058,12,1,57.404,2.2014
185.4543,0.1604,1.2914,20,1,8.3561,12.6683
164.8559,0.1481,1.5647,16,2,16.2712,12.3481
194.9231,0.0947,1.5638,16,0,5.5579,16.3358
247.5737,0.1417,1.3065,10,0,19.1381,5.3711
167.0159,0.313,0.5052,20,0,49.1375,7.208
256.0372,0.3489,3.0527,10,0,114.5118,2.109
202.3529,0.1605,3.884,16,1,10.7245,9.2819
238.0118,0.1846,1.285,10,1,21.8012,4.2884
209.0316,0.2666,2.8207,16,2,50.4875,5.4087
173.6164,0.3159,3.0966,16,2,72.6052,5.4969
337.1133,0.2279,3.4695,10,0,45.6639,2.4521
290.9014,0.1675,1.9792,10,2,30.0284,3.8675
135.0283,0.1738,1.5603,12,2,30.0921,9.6343
317.117,0.2587,1.6385,12,0,50.1612,2.7559
221.8578,0.051,2.9942,12,0,2.2168,19.9945
323.6381,0.2359,3.3587,16,2,36.4317,3.9487
299.9638,0.1566,1.1356,10,1,14.9377,4.0095
206.3034,0.2883,1.7983,20,2,47.1309,6.3361
105.6173,0.0779,3.6568,16,2,4.306,36.639
167.1693,0.2265,3.3234,20,1,17.0221,9.9532
235.4086,0.1943,3.947,10,1,24.2391,4.1191
258.3696,0.2427,3.1399,16,0,34.8469,4.8072
164.4719,0.0695,1.8762,20,0,2.3881,32.9844
134.839,0.224,2.5672,20,2,29.7986,12.4755
308.7326,0.2184,2.8135,12,1,23.865,3.3523
346.1005,0.2182,0.7746,12,0,34.9949,2.9937
231.4225,0.231,2.4057,12,2,49.6313,4.2282
142.9198,0.2529,2.9826,16,1,27.2782,8.3385
168.0768,0.2915,1.0856,10,2,99.3899,3.8454
104.5977,0.1309,3.2322,10,0,18.0556,13.7552
328.5747,0.2975,2.5432,12,0,65.9212,2.3127
129.4378,0.1995,3.8328,12,1,22.8443,8.7561
244.1291,0.0731,0.6485,12,2,4.9552,12.6655
168.5138,0.0676,1.4286,20,1,1.814,33.0942
238.5445,0.1503,2.6054,12,0,17.9863,6.3069
262.8551,0.2855,1.538,20,0,38.0197,5.0215
307.4355,0.2623,3.0005,10,2,72.7317,2.3363
151.6053,0.2866,3.1565,16,2,60.7851,6.938
102.749,0.2052,0.8588,16,2,32.1269,14.2984
134.2214,0.1821,2.2985,16,1,14.0928,12.3357
325.0047,0.0942,2.2811,16,2,5.7344,9.8423
318.4725,0.1485,1.7925,20,2,11.4534,7.9696
249.3533,0.1802,3.7652,20,0,15.3115,8.3855
250.1292,0.0766,3.3963,12,0,4.4914,11.8027
266.2592,0.1162,2.9402,20,2,7.4094,12.1804
143.8428,0.2295,3.0001,12,2,52.2279,6.8494
328.603,0.2707,2.116,12,0,54.3982,2.5416
204.6926,0.3495,3.7235,16,2,86.9867,4.2135
195.7846,0.3299,2.9311,20,1,35.6402,5.8332
229.7294,0.2428,3.0514,20,1,19.0602,6.7562
111.7415,0.1764,3.5159,12,1,18.0144,11.4713
141.5708,0.2409,1.4593,12,2,57.7672,6.6303
284.5084,0.2857,3.3247,10,0,75.0116,2.3178
120.6997,0.0855,1.1833,10,2,8.92,18.2559
250.788,0.173,1.7087,12,2,27.3619,5.2117
161.3373,0.3019,1.6746,10,0,91.7288,3.8674
197.3239,0.1651,3.9248,10,0,26.7183,5.7813
172.1734,0.2216,3.4979,12,0,40.8155,5.9265
188.9182,0.2263,2.9541,12,1,28.0398,5.2874
279.7615,0.1053,3.0447,20,2,6.165,12.7855
174.2804,0.1587,2.4673,12,0,20.9452,8.1755
241.6012,0.1504,3.8148,12,2,20.9324,6.2237
219.0126,0.0579,2.2369,16,1,1.2798,23.7882
265.9178,0.0573,1.8318,20,1,1.1491,24.7475
334.2074,0.2995,1.0706,20,0,39.7953,3.7643
283.143,0.1319,3.2517,20,0,7.9748,10.0877
153.7351,0.2054,3.0706,16,2,30.9135,9.545
107.7958,0.1396,1.8452,12,0,17.0003,15.0217
165.566,0.3322,0.5882,20,2,64.7268,6.8507
248.7695,0.1278,3.4365,20,0,7.5761,11.8528
112.8565,0.1789,0.54,10,2,38.8248,9.3315
224.0916,0.3118,2.9629,20,2,54.7079,5.3924
